name,common_name,name_type
M-30s,percocet,street_name
Paulas,percocet,street_name
Percs,percocet,street_name
Rims,percocet,street_name
Tires,percocet,street_name
Wheels,percocet,street_name
Perks,percocet,street_name
Bars,xanax,street_name
Benzos,xanax,street_name
Bicycle Handle Bars,xanax,street_name
Bicycle Parts,xanax,street_name
Bricks,xanax,street_name
Footballs,xanax,street_name
Handlebars,xanax,street_name
Hulk,xanax,street_name
L7,xanax,street_name
Ladders,xanax,street_name
Palitroque,xanax,street_name
Planks,xanax,street_name
School Bus,xanax,street_name
Sticks,xanax,street_name
Upjohns,xanax,street_name
White Boys,xanax,street_name
White Girls,xanax,street_name
Xanies,xanax,street_name
Yellow Boys,xanax,street_name
Zanbars,xanax,street_name
Zannies,xanax,street_name
Z-Bars,xanax,street_name
Acelerador,amphetamine,street_name
Amy,amphetamine,street_name
Amps,amphetamine,street_name
Bam,amphetamine,street_name
B-Bombs,amphetamine,street_name
Beans,amphetamine,street_name
Bennies,amphetamine,street_name
Benz,amphetamine,street_name
Black and Whites,amphetamine,street_name
Black Beauties,amphetamine,street_name
Black Birds,amphetamine,street_name
Black Bombers,amphetamine,street_name
Black Mollies,amphetamine,street_name
Blacks,amphetamine,street_name
Blue Boys,amphetamine,street_name
Bombita,amphetamine,street_name
Brain Ticklers,amphetamine,street_name
Brownies,amphetamine,street_name
Bumblebees,amphetamine,street_name
Cartwheels,amphetamine,street_name
Chalk,amphetamine,street_name
Chicken Powder,amphetamine,street_name
Chochos,amphetamine,street_name
Chocolates,amphetamine,street_name
Christina,amphetamine,street_name
Chunk,amphetamine,street_name
Co-Pilot,amphetamine,street_name
Coast-to-Coasts,amphetamine,street_name
Crisscross,amphetamine,street_name
Cross Roads,amphetamine,street_name
Cross Tops,amphetamine,street_name
Crosses,amphetamine,street_name
Debs,amphetamine,street_name
Dexies,amphetamine,street_name
Diablos,amphetamine,street_name
Diamonds,amphetamine,street_name
Diet Pills,amphetamine,street_name
Dolls,amphetamine,street_name
Dominoes,amphetamine,street_name
Double Cross,amphetamine,street_name
Drivers,amphetamine,street_name
Dulces,amphetamine,street_name
Fives,amphetamine,street_name
Flour,amphetamine,street_name
Footballs,amphetamine,street_name
French Blues,amphetamine,street_name
Geeked Up,amphetamine,street_name
Goofballs,amphetamine,street_name
Greenies,amphetamine,street_name
Head Drugs,amphetamine,street_name
Hearts,amphetamine,street_name
Horse Heads,amphetamine,street_name
In-Betweens,amphetamine,street_name
Jelly Babies,amphetamine,street_name
Jelly Beans,amphetamine,street_name
Jolly Beans,amphetamine,street_name
Jugs,amphetamine,street_name
LA Turnaround,amphetamine,street_name
Leapers,amphetamine,street_name
Lid Poppers,amphetamine,street_name
Lightening,amphetamine,street_name
Little Bombs,amphetamine,street_name
Marathons,amphetamine,street_name
Mini Beans,amphetamine,street_name
Mini Bennies,amphetamine,street_name
Morning Shot,amphetamine,street_name
Nuggets,amphetamine,street_name
Oranges,amphetamine,street_name
Pastas,amphetamine,street_name
Pastillas,amphetamine,street_name
Peaches,amphetamine,street_name
Pep Pills,amphetamine,street_name
Pepper,amphetamine,street_name
Pingas,amphetamine,street_name
Pink Hearts,amphetamine,street_name
Pixies,amphetamine,street_name
Pollutants,amphetamine,street_name
Purple Hearts,amphetamine,street_name
Rhythm,amphetamine,street_name
Rippers,amphetamine,street_name
Road Dope,amphetamine,street_name
Roses,amphetamine,street_name
Rueda,amphetamine,street_name
Snaps,amphetamine,street_name
Snow Pallets,amphetamine,street_name
Sparkle Plenty,amphetamine,street_name
Sparklers,amphetamine,street_name
Speed,amphetamine,street_name
Splash,amphetamine,street_name
Sweeties,amphetamine,street_name
Sweets,amphetamine,street_name
Tens,amphetamine,street_name
Thrusters,amphetamine,street_name
TR-6s,amphetamine,street_name
Truck Drivers,amphetamine,street_name
Turnabouts,amphetamine,street_name
Uppers,amphetamine,street_name
Wake Ups,amphetamine,street_name
West Coast Turnarounds,amphetamine,street_name
Wheels,amphetamine,street_name
Whiffle Dust,amphetamine,street_name
White Crosses,amphetamine,street_name
Whites,amphetamine,street_name
Zoomers,amphetamine,street_name
Juice,amphetamine,street_name
A-Train,adderall,street_name
Abby,adderall,street_name
Addy,adderall,street_name
Amps,adderall,street_name
Christmas Trees,adderall,street_name
Co-Pilots,adderall,street_name
Lid Poppers,adderall,street_name
Smart Pills,adderall,street_name
Smarties,adderall,street_name
Study Buddies,adderall,street_name
Study Skittles,adderall,street_name
Truck Drivers,adderall,street_name
Zing,adderall,street_name
Boxes,suboxone,street_name
Bupes,suboxone,street_name
Oranges,suboxone,street_name
Sobos,suboxone,street_name
Stop Signs,suboxone,street_name
Stops,suboxone,street_name
Subs,suboxone,street_name
Benzos,clonazepam,street_name
K,clonazepam,street_name
K-Pin,clonazepam,street_name
Pin,clonazepam,street_name
Super Valium,clonazepam,street_name
Tranks,clonazepam,street_name
klonopin,clonazepam,street_name
Regular Kind,cocaine,street_name
Regular Work,cocaine,street_name
Reindeer Dust,cocaine,street_name
Richie,cocaine,street_name
Rims,cocaine,street_name
Rocky Mountain,cocaine,street_name
Rolex,cocaine,street_name
Rolex HH,cocaine,street_name
Rooster,cocaine,street_name
Scale,cocaine,street_name
Schmeck,cocaine,street_name
Schoolboy,cocaine,street_name
Scorpion,cocaine,street_name
Scottie,cocaine,street_name
Seed,cocaine,street_name
Serpico,cocaine,street_name
Sierra,cocaine,street_name
Shirt,cocaine,street_name
Ski Equipment,cocaine,street_name
Sleigh Ride,cocaine,street_name
Sneeze,cocaine,street_name
Sniff,cocaine,street_name
Snow,cocaine,street_name
Snow Bird,cocaine,street_name
Snow Cone,cocaine,street_name
Snow White,cocaine,street_name
Snowball,cocaine,street_name
Snowflake,cocaine,street_name
Society High,cocaine,street_name
Soda,cocaine,street_name
Soditas,cocaine,street_name
Soft,cocaine,street_name
Space,cocaine,street_name
Special,cocaine,street_name
Speedball,cocaine,street_name
Stardust,cocaine,street_name
Star Spangled Powder,cocaine,street_name
Studio Fuel,cocaine,street_name
Suave,cocaine,street_name
Sugar,cocaine,street_name
Superman,cocaine,street_name
Sweet Stuff,cocaine,street_name
Tabique,cocaine,street_name
Tablas,cocaine,street_name
Talco,cocaine,street_name
Talquito,cocaine,street_name
Tamales,cocaine,street_name
Taxi,cocaine,street_name
Tecate,cocaine,street_name
Teenager,cocaine,street_name
Teeth,cocaine,street_name
Tequila,cocaine,street_name
Thunder,cocaine,street_name
Tire,cocaine,street_name
Tonto,cocaine,street_name
Toot,cocaine,street_name
Tortes,cocaine,street_name
Tortuga,cocaine,street_name
Toyota,cocaine,street_name
T-Shirts,cocaine,street_name
Tubo,cocaine,street_name
Tucibi,cocaine,street_name
Turkey,cocaine,street_name
Tutti-Frutti,cocaine,street_name
Vaquita,cocaine,street_name
Wash,cocaine,street_name
Wet,cocaine,street_name
Whack,cocaine,street_name
White,cocaine,street_name
White Bitch,cocaine,street_name
White Cross,cocaine,street_name
White Dove,cocaine,street_name
White Girl,cocaine,street_name
White Goat,cocaine,street_name
White Horse,cocaine,street_name
White Lady,cocaine,street_name
White Mercedes Benz,cocaine,street_name
White Mosquito,cocaine,street_name
White Paint,cocaine,street_name
White Powder,cocaine,street_name
White Rock,cocaine,street_name
White Root,cocaine,street_name
White Shirt,cocaine,street_name
White T,cocaine,street_name
White Wall Tires,cocaine,street_name
Whitey,cocaine,street_name
Whiz Bang,cocaine,street_name
Wings,cocaine,street_name
Wooly,cocaine,street_name
Work,cocaine,street_name
Yayo,cocaine,street_name
Yeyo,cocaine,street_name
Yoda,cocaine,street_name
Zapato,cocaine,street_name
Zip,cocaine,street_name
Hunter,cocaine,street_name
Ice Cream,cocaine,street_name
Icing,cocaine,street_name
Inca Message,cocaine,street_name
Izzy,cocaine,street_name
Jam,cocaine,street_name
Jaime Blanco,cocaine,street_name
Jaula,cocaine,street_name
Jeep,cocaine,street_name
Jelly,cocaine,street_name
John Deere,cocaine,street_name
Joy Flakes,cocaine,street_name
Joy Powder,cocaine,street_name
Juguetes,cocaine,street_name
Jump Rope,cocaine,street_name
Junk,cocaine,street_name
K13,cocaine,street_name
King’s Habit,cocaine,street_name
Kordell,cocaine,street_name
La Familia,cocaine,street_name
Lady,cocaine,street_name
Lady Snow,cocaine,street_name
Late Night,cocaine,street_name
Lavada,cocaine,street_name
Leaf,cocaine,street_name
Libreta,cocaine,street_name
Line,cocaine,street_name
Loaf,cocaine,street_name
Love Affair,cocaine,street_name
LV,cocaine,street_name
Maca Flour,cocaine,street_name
Madera,cocaine,street_name
Mama Coca,cocaine,street_name
Mandango,cocaine,street_name
Manita,cocaine,street_name
Maradona,cocaine,street_name
Marbol,cocaine,street_name
Material,cocaine,street_name
Mayback,cocaine,street_name
Mayo,cocaine,street_name
Melcocha,cocaine,street_name
Media Lata,cocaine,street_name
Mercedes,cocaine,street_name
Milk,cocaine,street_name
Milonga,cocaine,street_name
Mojo,cocaine,street_name
Mona Lisa,cocaine,street_name
Monte,cocaine,street_name
Morro,cocaine,street_name
Mosquitos,cocaine,street_name
Movie Star Drug,cocaine,street_name
Muchacha,cocaine,street_name
Muebles,cocaine,street_name
Mujer,cocaine,street_name
Napkin,cocaine,street_name
Nieve,cocaine,street_name
Nina,cocaine,street_name
Normal,cocaine,street_name
Nose Candy,cocaine,street_name
Nose Powder,cocaine,street_name
Old Lady,cocaine,street_name
Oyster Stew,cocaine,street_name
Paint,cocaine,street_name
Paloma,cocaine,street_name
Paleta,cocaine,street_name
Palomos,cocaine,street_name
Pantalones,cocaine,street_name
Papas,cocaine,street_name
Paradise,cocaine,street_name
Paradise White,cocaine,street_name
Parrot,cocaine,street_name
Pearl,cocaine,street_name
Pedrito,cocaine,street_name
Perico,cocaine,street_name
Personal,cocaine,street_name
Peruvian,cocaine,street_name
Peruvian Flake,cocaine,street_name
Peruvian Lady,cocaine,street_name
Pescado,cocaine,street_name
Peta,cocaine,street_name
Pez,cocaine,street_name
Pichicata,cocaine,street_name
Pillow,cocaine,street_name
Pimp,cocaine,street_name
Pingas,cocaine,street_name
Pingos,cocaine,street_name
Pintura Blanca,cocaine,street_name
Poli,cocaine,street_name
Pollo,cocaine,street_name
Polvo,cocaine,street_name
Powder,cocaine,street_name
Powder Diamonds,cocaine,street_name
Puma,cocaine,street_name
Puritain,cocaine,street_name
Quadros,cocaine,street_name
Queso Blanco,cocaine,street_name
Racehorse Charlie,cocaine,street_name
Rambo,cocaine,street_name
Refresco,cocaine,street_name
Refrescas,cocaine,street_name
Chevy,cocaine,street_name
Cheyenne,cocaine,street_name
Chica,cocaine,street_name
Chicanitas,cocaine,street_name
Chinos,cocaine,street_name
Chiva,cocaine,street_name
Cielo,cocaine,street_name
Clear Kind,cocaine,street_name
Clear Tires,cocaine,street_name
Coca,cocaine,street_name
Coca-Cola,cocaine,street_name
Cocazo,cocaine,street_name
Coconut,cocaine,street_name
Coke,cocaine,street_name
Cola,cocaine,street_name
Colorado,cocaine,street_name
Comida,cocaine,street_name
Comida Dulce,cocaine,street_name
Connie,cocaine,street_name
Cookie,cocaine,street_name
Cosa,cocaine,street_name
Coso,cocaine,street_name
Cosos,cocaine,street_name
Crow,cocaine,street_name
Crusty Treats,cocaine,street_name
Cuadro,cocaine,street_name
Death Valley,cocaine,street_name
Designer Jeans,cocaine,street_name
Devil’s Dandruff,cocaine,street_name
Diamonds,cocaine,street_name
Diente,cocaine,street_name
Dienton,cocaine,street_name
Diesel,cocaine,street_name
Diosa Blanca,cocaine,street_name
Dona Blanca,cocaine,street_name
Double Bubble,cocaine,street_name
Double Letters,cocaine,street_name
Dove,cocaine,street_name
Dream,cocaine,street_name
Dulces,cocaine,street_name
Duracell,cocaine,street_name
Durazno,cocaine,street_name
Duro,cocaine,street_name
Dust,cocaine,street_name
Escama,cocaine,street_name
Escorpino,cocaine,street_name
Falopa,cocaine,street_name
Fef1,cocaine,street_name
Fichas,cocaine,street_name
Fiesta,cocaine,street_name
Fire,cocaine,street_name
Fish,cocaine,street_name
Fish Scale,cocaine,street_name
Flake,cocaine,street_name
Flea Market Jeans,cocaine,street_name
Florida Snow,cocaine,street_name
Flour,cocaine,street_name
Food,cocaine,street_name
Foolish Powder,cocaine,street_name
Fox,cocaine,street_name
Freeze,cocaine,street_name
Friskie Powder,cocaine,street_name
Frula,cocaine,street_name
Funtime,cocaine,street_name
Gabacho,cocaine,street_name
Galaxy,cocaine,street_name
Gallos,cocaine,street_name
Gato,cocaine,street_name
Gift of the Sun,cocaine,street_name
Gin,cocaine,street_name
Girl,cocaine,street_name
Girlfriend,cocaine,street_name
Glad Stuff,cocaine,street_name
Gold Dust,cocaine,street_name
Green Gold,cocaine,street_name
Gringa,cocaine,street_name
Gringito,cocaine,street_name
Grout,cocaine,street_name
Guerillo,cocaine,street_name
Gueros,cocaine,street_name
Guitar,cocaine,street_name
H1,cocaine,street_name
Hai Hit,cocaine,street_name
Hamburger,cocaine,street_name
Happy Dust,cocaine,street_name
Happy Powder,cocaine,street_name
Happy Trails,cocaine,street_name
Heaven,cocaine,street_name
Heaven Dust,cocaine,street_name
Heavy One,cocaine,street_name
Hen,cocaine,street_name
Henry VIII,cocaine,street_name
HH,cocaine,street_name
HHJ,cocaine,street_name
High Heat,cocaine,street_name
HMH,cocaine,street_name
Hooter,cocaine,street_name
Hundai,cocaine,street_name
7,cocaine,street_name
62,cocaine,street_name
77,cocaine,street_name
777,cocaine,street_name
921,cocaine,street_name
A-1,cocaine,street_name
Adidas,cocaine,street_name
All-American Drug,cocaine,street_name
Ancla,cocaine,street_name
Angel Powder,cocaine,street_name
Angie,cocaine,street_name
Animals,cocaine,street_name
Apache,cocaine,street_name
Apodo,cocaine,street_name
Arriba,cocaine,street_name
Audi,cocaine,street_name
Aunt Nora,cocaine,street_name
Azucar,cocaine,street_name
Baby Powder,cocaine,street_name
Barrato,cocaine,street_name
Basuco,cocaine,street_name
Bazooka,cocaine,street_name
Beach,cocaine,street_name
Belushi,cocaine,street_name
Bernice,cocaine,street_name
Bernie’s Flakes,cocaine,street_name
Bernie’s Gold Dust,cocaine,street_name
Big Bird,cocaine,street_name
Big Bloke,cocaine,street_name
Big C,cocaine,street_name
Big Flake,cocaine,street_name
Big Rush,cocaine,street_name
Billie Hoke,cocaine,street_name
Bird,cocaine,street_name
Birdie Powder,cocaine,street_name
Blanca Nieves,cocaine,street_name
Blanco,cocaine,street_name
Blast,cocaine,street_name
Blizzard,cocaine,street_name
Blonde,cocaine,street_name
Blocks,cocaine,street_name
Blow,cocaine,street_name
BMW,cocaine,street_name
Board,cocaine,street_name
Bobo,cocaine,street_name
Bolitas,cocaine,street_name
Bolivian Marching Powder,cocaine,street_name
Bombita,cocaine,street_name
Booger Sugar,cocaine,street_name
Bose,cocaine,street_name
Bouncing Powder,cocaine,street_name
Brisa,cocaine,street_name
Bump,cocaine,street_name
C-Dust,cocaine,street_name
Caballo,cocaine,street_name
Caca,cocaine,street_name
Cadillac,cocaine,street_name
California Pancakes,cocaine,street_name
Calves,cocaine,street_name
Canelon,cocaine,street_name
Candy,cocaine,street_name
Car,cocaine,street_name
Carney,cocaine,street_name
Carrie Nation,cocaine,street_name
Cars,cocaine,street_name
Case,cocaine,street_name
Cebolla,cocaine,street_name
Cecil,cocaine,street_name
Cement,cocaine,street_name
Charlie,cocaine,street_name
Devil Smoke,crack,street_name
Dice,crack,street_name
Dime Special,crack,street_name
Dirty Basing,crack,street_name
Dirty Fentanyl,crack,street_name
Double Yoke,crack,street_name
Durin,crack,street_name
Eastside Player,crack,street_name
Egg,crack,street_name
Eye Opener,crack,street_name
Famous Dimes,crack,street_name
Fat Bags,crack,street_name
Fifty-One,crack,street_name
Fish Scales,crack,street_name
Freebase,crack,street_name
French Fries,crack,street_name
Garbage Rock,crack,street_name
Geek,crack,street_name
Glo,crack,street_name
Gold,crack,street_name
Golf Ball,crack,street_name
Gravel,crack,street_name
Great White Hope,crack,street_name
Grit,crack,street_name
Groceries,crack,street_name
Hail,crack,street_name
Hamburger Helper,crack,street_name
Hard,crack,street_name
Hotcakes,crack,street_name
Hubba,crack,street_name
Ice,crack,street_name
Ice Cubes,crack,street_name
Issues,crack,street_name
Jelly Beans,crack,street_name
Johnson,crack,street_name
Kangaroo,crack,street_name
Kokoma,crack,street_name
Kryptonite,crack,street_name
Love,crack,street_name
Mixed Jive,crack,street_name
Moon Rock,crack,street_name
Nickle,crack,street_name
Nuggets,crack,street_name
One-Fifty-One,crack,street_name
Paste,crack,street_name
Pebbles,crack,street_name
Pee Wee,crack,street_name
Piedras,crack,street_name
Pile,crack,street_name
Pony,crack,street_name
Primo,crack,street_name
Quarters,crack,street_name
Raw,crack,street_name
Ready Rock,crack,street_name
Red Caps,crack,street_name
RIP,crack,street_name
Roca,crack,street_name
Rock,crack,street_name
Rock Attack,crack,street_name
Rocks of Hell,crack,street_name
Rocky III,crack,street_name
Rooster,crack,street_name
Rox,crack,street_name
Roxanne,crack,street_name
Roz,crack,street_name
Schoolcraft,crack,street_name
Scotty,crack,street_name
Scramble,crack,street_name
Scruples,crack,street_name
Seven-Up,crack,street_name
Sherms,crack,street_name
Sight Ball,crack,street_name
Slab,crack,street_name
Sleet,crack,street_name
Smoke,crack,street_name
Speed Boat,crack,street_name
Square Time Bomb,crack,street_name
Stone,crack,street_name
Sugar Block,crack,street_name
Takeover,crack,street_name
Teeth,crack,street_name
Tension,crack,street_name
Tissue,crack,street_name
Top Gun,crack,street_name
Troop,crack,street_name
Ultimate,crack,street_name
Up,crack,street_name
Uzi,crack,street_name
Wave,crack,street_name
White Ball,crack,street_name
White Ghost,crack,street_name
White Sugar,crack,street_name
White Tornado,crack,street_name
Wrecking Crew,crack,street_name
Yahoo,crack,street_name
Yale,crack,street_name
Yimyom,crack,street_name
51s,crack,street_name
151s,crack,street_name
501s,crack,street_name
Apple Jack,crack,street_name
Baby T,crack,street_name
Base,crack,street_name
Baseball,crack,street_name
Bazooka,crack,street_name
Beam Me Up,crack,street_name
Beautiful Boulders,crack,street_name
Beemer,crack,street_name
Bill Blass,crack,street_name
Bings,crack,street_name
BJ,crack,street_name
Black Rock,crack,street_name
Blowcaine,crack,street_name
Blowout,crack,street_name
Blue,crack,street_name
Bobo,crack,street_name
Bolo,crack,street_name
Bomb,crack,street_name
Bone Crusher,crack,street_name
Bone,crack,street_name
Boo-Boo,crack,street_name
Boulder,crack,street_name
