name,common_name,name_type,full_common_name
Purple Hearts,amphetamine,street_name,amphetamine
Rhythm,amphetamine,street_name,amphetamine
Rippers,amphetamine,street_name,amphetamine
Road Dope,amphetamine,street_name,amphetamine
Roses,amphetamine,street_name,amphetamine
Rueda,amphetamine,street_name,amphetamine
Snaps,amphetamine,street_name,amphetamine
Snow Pallets,amphetamine,street_name,amphetamine
Sparkle Plenty,amphetamine,street_name,amphetamine
Sparklers,amphetamine,street_name,amphetamine
Speed,amphetamine,street_name,amphetamine
Splash,amphetamine,street_name,amphetamine
Sweeties,amphetamine,street_name,amphetamine
Sweets,amphetamine,street_name,amphetamine
Tens,amphetamine,street_name,amphetamine
Thrusters,amphetamine,street_name,amphetamine
TR-6s,amphetamine,street_name,amphetamine
Truck Drivers,amphetamine,street_name,amphetamine
Turnabouts,amphetamine,street_name,amphetamine
Uppers,amphetamine,street_name,amphetamine
Wake Ups,amphetamine,street_name,amphetamine
West Coast Turnarounds,amphetamine,street_name,amphetamine
Wheels,amphetamine,street_name,amphetamine
Whiffle Dust,amphetamine,street_name,amphetamine
White Crosses,amphetamine,street_name,amphetamine
Whites,amphetamine,street_name,amphetamine
Zoomers,amphetamine,street_name,amphetamine
Juice,amphetamine,street_name,amphetamine
Adderall,amphetamine,brand_name,amphetamine and dextroamphetamine combination
A-Train,amphetamine,street_name,amphetamine and dextroamphetamine combination
Abby,amphetamine,street_name,amphetamine and dextroamphetamine combination
Addy,amphetamine,street_name,amphetamine and dextroamphetamine combination
Amps,amphetamine,street_name,amphetamine and dextroamphetamine combination
Christmas Trees,amphetamine,street_name,amphetamine and dextroamphetamine combination
Co-Pilots,amphetamine,street_name,amphetamine and dextroamphetamine combination
Lid Poppers,amphetamine,street_name,amphetamine and dextroamphetamine combination
Smart Pills,amphetamine,street_name,amphetamine and dextroamphetamine combination
Smarties,amphetamine,street_name,amphetamine and dextroamphetamine combination
Study Buddies,amphetamine,street_name,amphetamine and dextroamphetamine combination
Study Skittles,amphetamine,street_name,amphetamine and dextroamphetamine combination
Truck Drivers,amphetamine,street_name,amphetamine and dextroamphetamine combination
Zing,amphetamine,street_name,amphetamine and dextroamphetamine combination
Suboxone,buprenorphine,brand_name,buprenorphine and naloxone combination
Boxes,buprenorphine,street_name,buprenorphine and naloxone combination
Bupes,buprenorphine,street_name,buprenorphine and naloxone combination
Oranges,buprenorphine,street_name,buprenorphine and naloxone combination
Sobos,buprenorphine,street_name,buprenorphine and naloxone combination
Stop Signs,buprenorphine,street_name,buprenorphine and naloxone combination
Stops,buprenorphine,street_name,buprenorphine and naloxone combination
Subs,buprenorphine,street_name,buprenorphine and naloxone combination
Benzos,clonazepam,street_name,clonazepam
K,clonazepam,street_name,clonazepam
K-Pin,clonazepam,street_name,clonazepam
Pin,clonazepam,street_name,clonazepam
Super Valium,clonazepam,street_name,clonazepam
Tranks,clonazepam,street_name,clonazepam
klonopin,clonazepam,street_name,clonazepam
Regular Kind,cocaine,street_name,cocaine
Regular Work,cocaine,street_name,cocaine
Reindeer Dust,cocaine,street_name,cocaine
Richie,cocaine,street_name,cocaine
Rims,cocaine,street_name,cocaine
Rocky Mountain,cocaine,street_name,cocaine
Rolex,cocaine,street_name,cocaine
Rolex HH,cocaine,street_name,cocaine
Rooster,cocaine,street_name,cocaine
Scale,cocaine,street_name,cocaine
Schmeck,cocaine,street_name,cocaine
Schoolboy,cocaine,street_name,cocaine
Scorpion,cocaine,street_name,cocaine
Scottie,cocaine,street_name,cocaine
Seed,cocaine,street_name,cocaine
Serpico,cocaine,street_name,cocaine
Sierra,cocaine,street_name,cocaine
Shirt,cocaine,street_name,cocaine
Ski Equipment,cocaine,street_name,cocaine
Sleigh Ride,cocaine,street_name,cocaine
Sneeze,cocaine,street_name,cocaine
Sniff,cocaine,street_name,cocaine
Snow,cocaine,street_name,cocaine
Snow Bird,cocaine,street_name,cocaine
Snow Cone,cocaine,street_name,cocaine
Snow White,cocaine,street_name,cocaine
Snowball,cocaine,street_name,cocaine
Snowflake,cocaine,street_name,cocaine
Society High,cocaine,street_name,cocaine
Soda,cocaine,street_name,cocaine
Soditas,cocaine,street_name,cocaine
Soft,cocaine,street_name,cocaine
Space,cocaine,street_name,cocaine
Special,cocaine,street_name,cocaine
Speedball,cocaine,street_name,cocaine
Stardust,cocaine,street_name,cocaine
Star Spangled Powder,cocaine,street_name,cocaine
Studio Fuel,cocaine,street_name,cocaine
Suave,cocaine,street_name,cocaine
Sugar,cocaine,street_name,cocaine
Superman,cocaine,street_name,cocaine
Sweet Stuff,cocaine,street_name,cocaine
Tabique,cocaine,street_name,cocaine
Tablas,cocaine,street_name,cocaine
Talco,cocaine,street_name,cocaine
Talquito,cocaine,street_name,cocaine
Tamales,cocaine,street_name,cocaine
Taxi,cocaine,street_name,cocaine
Tecate,cocaine,street_name,cocaine
Teenager,cocaine,street_name,cocaine
Teeth,cocaine,street_name,cocaine
Tequila,cocaine,street_name,cocaine
Thunder,cocaine,street_name,cocaine
Tire,cocaine,street_name,cocaine
Tonto,cocaine,street_name,cocaine
Toot,cocaine,street_name,cocaine
Tortes,cocaine,street_name,cocaine
Tortuga,cocaine,street_name,cocaine
Toyota,cocaine,street_name,cocaine
T-Shirts,cocaine,street_name,cocaine
Tubo,cocaine,street_name,cocaine
Tucibi,cocaine,street_name,cocaine
Turkey,cocaine,street_name,cocaine
Tutti-Frutti,cocaine,street_name,cocaine
Vaquita,cocaine,street_name,cocaine
Wash,cocaine,street_name,cocaine
Wet,cocaine,street_name,cocaine
Whack,cocaine,street_name,cocaine
White,cocaine,street_name,cocaine
White Bitch,cocaine,street_name,cocaine
White Cross,cocaine,street_name,cocaine
White Dove,cocaine,street_name,cocaine
White Girl,cocaine,street_name,cocaine
White Goat,cocaine,street_name,cocaine
White Horse,cocaine,street_name,cocaine
White Lady,cocaine,street_name,cocaine
White Mercedes Benz,cocaine,street_name,cocaine
White Mosquito,cocaine,street_name,cocaine
White Paint,cocaine,street_name,cocaine
White Powder,cocaine,street_name,cocaine
White Rock,cocaine,street_name,cocaine
White Root,cocaine,street_name,cocaine
White Shirt,cocaine,street_name,cocaine
White T,cocaine,street_name,cocaine
White Wall Tires,cocaine,street_name,cocaine
Whitey,cocaine,street_name,cocaine
Whiz Bang,cocaine,street_name,cocaine
Wings,cocaine,street_name,cocaine
Wooly,cocaine,street_name,cocaine
Work,cocaine,street_name,cocaine
Yayo,cocaine,street_name,cocaine
Yeyo,cocaine,street_name,cocaine
Yoda,cocaine,street_name,cocaine
Zapato,cocaine,street_name,cocaine
Zip,cocaine,street_name,cocaine
Hunter,cocaine,street_name,cocaine
Ice Cream,cocaine,street_name,cocaine
Icing,cocaine,street_name,cocaine
Inca Message,cocaine,street_name,cocaine
Izzy,cocaine,street_name,cocaine
Jam,cocaine,street_name,cocaine
Jaime Blanco,cocaine,street_name,cocaine
Jaula,cocaine,street_name,cocaine
Jeep,cocaine,street_name,cocaine
Jelly,cocaine,street_name,cocaine
John Deere,cocaine,street_name,cocaine
Joy Flakes,cocaine,street_name,cocaine
Joy Powder,cocaine,street_name,cocaine
Juguetes,cocaine,street_name,cocaine
Jump Rope,cocaine,street_name,cocaine
Junk,cocaine,street_name,cocaine
K13,cocaine,street_name,cocaine
King’s Habit,cocaine,street_name,cocaine
Kordell,cocaine,street_name,cocaine
La Familia,cocaine,street_name,cocaine
Lady,cocaine,street_name,cocaine
Lady Snow,cocaine,street_name,cocaine
Late Night,cocaine,street_name,cocaine
Lavada,cocaine,street_name,cocaine
Leaf,cocaine,street_name,cocaine
Libreta,cocaine,street_name,cocaine
Line,cocaine,street_name,cocaine
Loaf,cocaine,street_name,cocaine
Love Affair,cocaine,street_name,cocaine
LV,cocaine,street_name,cocaine
Maca Flour,cocaine,street_name,cocaine
Madera,cocaine,street_name,cocaine
Mama Coca,cocaine,street_name,cocaine
Mandango,cocaine,street_name,cocaine
Manita,cocaine,street_name,cocaine
Maradona,cocaine,street_name,cocaine
Marbol,cocaine,street_name,cocaine
Material,cocaine,street_name,cocaine
Mayback,cocaine,street_name,cocaine
Mayo,cocaine,street_name,cocaine
Melcocha,cocaine,street_name,cocaine
Media Lata,cocaine,street_name,cocaine
Mercedes,cocaine,street_name,cocaine
Milk,cocaine,street_name,cocaine
Milonga,cocaine,street_name,cocaine
Mojo,cocaine,street_name,cocaine
Mona Lisa,cocaine,street_name,cocaine
Monte,cocaine,street_name,cocaine
Morro,cocaine,street_name,cocaine
Mosquitos,cocaine,street_name,cocaine
Movie Star Drug,cocaine,street_name,cocaine
Muchacha,cocaine,street_name,cocaine
Muebles,cocaine,street_name,cocaine
Mujer,cocaine,street_name,cocaine
Napkin,cocaine,street_name,cocaine
Nieve,cocaine,street_name,cocaine
Nina,cocaine,street_name,cocaine
Normal,cocaine,street_name,cocaine
Nose Candy,cocaine,street_name,cocaine
Nose Powder,cocaine,street_name,cocaine
Old Lady,cocaine,street_name,cocaine
Oyster Stew,cocaine,street_name,cocaine
Paint,cocaine,street_name,cocaine
Paloma,cocaine,street_name,cocaine
Paleta,cocaine,street_name,cocaine
Palomos,cocaine,street_name,cocaine
Pantalones,cocaine,street_name,cocaine
Papas,cocaine,street_name,cocaine
Paradise,cocaine,street_name,cocaine
Paradise White,cocaine,street_name,cocaine
Parrot,cocaine,street_name,cocaine
Pearl,cocaine,street_name,cocaine
Pedrito,cocaine,street_name,cocaine
Perico,cocaine,street_name,cocaine
Personal,cocaine,street_name,cocaine
Peruvian,cocaine,street_name,cocaine
Peruvian Flake,cocaine,street_name,cocaine
Peruvian Lady,cocaine,street_name,cocaine
Pescado,cocaine,street_name,cocaine
Peta,cocaine,street_name,cocaine
Pez,cocaine,street_name,cocaine
Pichicata,cocaine,street_name,cocaine
Pillow,cocaine,street_name,cocaine
Pimp,cocaine,street_name,cocaine
Pingas,cocaine,street_name,cocaine
Pingos,cocaine,street_name,cocaine
Pintura Blanca,cocaine,street_name,cocaine
Poli,cocaine,street_name,cocaine
Pollo,cocaine,street_name,cocaine
Polvo,cocaine,street_name,cocaine
Powder,cocaine,street_name,cocaine
Powder Diamonds,cocaine,street_name,cocaine
Puma,cocaine,street_name,cocaine
Puritain,cocaine,street_name,cocaine
Quadros,cocaine,street_name,cocaine
Queso Blanco,cocaine,street_name,cocaine
Racehorse Charlie,cocaine,street_name,cocaine
Rambo,cocaine,street_name,cocaine
Refresco,cocaine,street_name,cocaine
Refrescas,cocaine,street_name,cocaine
