NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
A-BOMB,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
PHENOMORPHAN,PHENOMORPHAN,GENERIC_NAME,PHENOMORPHAN,SCHEDULE I,,,
ACHIVIA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ADORMIDERA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
AMARILLA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ANESTESIA DE CABALLO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ANTIFREEZE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
APODO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ARPON,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
AUNT HAZEL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
AVOCADO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
AZUCAR,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BAD SEED,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BAJA CORTE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BALLOT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BASKETBALL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BASURA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BEAST,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BEYONCE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BIG BAG,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BIG H,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
GLUTETHIMIDE,GLUTETHIMIDE,GENERIC_NAME,GLUTETHIMIDE,SCHEDULE II,,,SEDATIVE
BIG HARRY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BIRD,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BIRDIE POWDER,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BIRRIA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BIRRIA BLANCA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLACK,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
METHYLTESTOSTERONE,METHYLTESTOSTERONE,GENERIC_NAME,METHYLTESTOSTERONE,SCHEDULE III,,,STEROID
BLACK BITCH,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CARISOPRODOL,CARISOPRODOL,GENERIC_NAME,CARISOPRODOL,SCHEDULE IV,,,
BLACK GOAT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLACK OLIVES,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLACK PAINT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLACK PEARL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLACK SHEEP,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLACK SHIRT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLACK TAR,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLANCO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLUE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BLOW DOPE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
ALPHA-ETHYLTRYPTAMINE,ALPHA-ETHYLTRYPTAMINE,GENERIC_NAME,ALPHA-ETHYLTRYPTAMINE,SCHEDULE I,,,STIMULANT
BLUE HERO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BOMBITA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BOMBS AWAY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BONITA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BOY,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BOZO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BREA NEGRA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BRICK GUM,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BROWN,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BROWN CRYSTAL,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BROWN RHINE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BROWN SUGAR,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BUBBLE GUM,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
BURRITO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CARFENTANIL,CARFENTANIL,GENERIC_NAME,CARFENTANIL,SCHEDULE II,,,ANALOGUE
BUTTER,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CABALLO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CABALLO NEGRO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CACA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CAFÉ,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CAJETA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CAPITAL H,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CARDIO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CARGA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CARO,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CEMENT,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CERTIFICADA,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHAPOPOTE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHARLIE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
CHARLIE HORSE,HEROIN,STREET_NAME,HEROIN,SCHEDULE I,,,PAINKILLER
