id,name
716,milonga
717,mojo
718,mona lisa
719,"3,4-methylenedioxy-n-ethylamphetamine"
720,monte
721,morro
722,mosquitos
723,movie star drug
724,muchacha
725,racemoramide
726,muebles
727,mujer
728,napkin
729,nieve
730,nina
731,dextroamphetamine
732,nose candy
733,nose powder
734,old lady
735,oyster stew
736,paloma
737,paleta
738,palomos
739,pantalones
740,5-methoxy-diisopropyltryptamine
741,papas
742,paradise
743,paradise white
744,parrot
745,pearl
746,pedrito
747,perico
748,peruvian
749,peruvian flake
750,peruvian lady
751,pescado
752,peta
753,pez
754,pichicata
755,pillow
756,pimp
757,pingas
758,pingos
759,pintura blanca
760,poli
761,pollo
762,polvo
763,powder diamonds
764,methaqualone
765,puma
766,puritain
767,quadros
768,queso blanco
769,racehorse charlie
770,rambo
771,benzphetamine
772,refresco
773,refrescas
774,pearl
775,hubba
776,gringa
777,flake
778,chevy
779,cheyenne
780,temazepam
781,chica
782,chicanitas
783,chinos
784,chiva
785,ethchlorvynol
786,cielo
787,clear kind
788,clear tires
789,coca
790,coca-cola
791,cocazo
792,coconut
793,coke
794,cola
795,colorado
796,comida
797,comida dulce
798,connie
799,cookie
800,cosa
801,coso
802,cosos
803,tiletamine
804,crow
805,crusty treats
806,cuadro
807,death valley
808,designer jeans
809,devil’s dandruff
810,diamonds
811,diente
812,barbital
813,dienton
814,boldenone
815,diesel
816,diosa blanca
817,dona blanca
818,double bubble
819,clorazepate
820,double letters
821,dove
822,dulces
823,duracell
824,durazno
825,duro
826,escama
827,metandienone
828,escorpino
829,falopa
830,methohexital
831,fef1
832,fichas
833,nordazepam
834,fiesta
835,oxymetholone
836,fish scale
837,quinbolone
838,flake
839,flea market jeans
840,florida snow
841,flour
842,foolish powder
843,"2,5-dimethoxy-4-ethylamphetamine"
844,fox
845,4-methylaminorex
846,freeze
847,friskie powder
848,frula
849,funtime
850,gabacho
851,galaxy
852,gallos
853,gato
854,dextromoramide
855,gift of the sun
856,dihydromorphine
857,girlfriend
858,dipipanone
859,glad stuff
860,gold dust
861,green gold
862,gringa
863,gringito
864,grout
865,guerillo
866,gueros
867,metenolone enanthate
868,h1
869,metharbital
870,hai hit
871,methylphenobarbital
872,hamburger
873,happy dust
874,happy powder
875,happy trails
876,heaven dust
877,heavy one
878,henry viii
879,hh
880,hhj
881,prazepam
882,high heat
883,4-methylthioamphetamine
884,hmh
885,amfepramone
886,hooter
887,aminorex
888,hundai
889,butorphanol
890,62
891,camazepam
892,77
893,777
894,cinolazepam
895,921
896,clotiazepam
897,a-1
898,cloxazolam
899,adidas
900,all-american drug
901,ancla
902,angel powder
903,dexfenfluramine
904,dichloralphenazone
905,apache
906,apodo
907,doxefazepam
908,arriba
909,audi
910,aunt nora
911,ethyl loflazepate
912,azucar
913,baby powder
914,barrato
915,basuco
916,etonitazene
917,batman
918,fludiazepam
919,bazooka
920,gidazepam
921,bazulco
922,halazepam
923,belushi
924,bernice
925,ketazolam
926,bernie
927,bernie’s flakes
928,bernie’s gold dust
929,big bird
930,loprazolam
931,big bloke
932,lormetazepam
933,big c
934,medazepam
935,big flake
936,big rush
937,nimetazepam
938,billie hoke
939,birdie powder
940,pinazepam
941,blanca nieves
942,blanco
943,blizzard
944,blowcaine
945,bmw
946,vinbarbital
947,bobo
948,vinylbital
949,bolitas
950,bolivian marching powder
951,bombita
952,booger sugar
953,bose
954,bouncing powder
955,brisa
956,bump
957,c-dust
958,caballo
959,caca
960,cadillac
961,california pancakes
962,calves
963,canelon
964,carney
965,furazabol
966,carrie nation
967,lefetamine
968,cebolla
969,cecil
970,cement
971,mesterolone
972,colombia
973,colombia
974,norethandrolone
975,crack cocaine
976,phenoperidine
977,devil smoke
978,dice
979,dime special
980,dirty basing
981,dirty fentanyl
982,double yoke
983,durin
984,eastside player
985,egg
986,eye opener
987,"3,4-methylenedioxy-n-hydroxyamphetamine"
988,famous dimes
989,fat bags
990,fifty-one
991,fish scales
992,freebase
993,french fries
994,eticyclidine
995,garbage rock
996,geek
997,glo
998,haloxazolam
999,golf ball
1000,gravel
1001,great white hope
1002,lisdexamfetamine
1003,grit
1004,groceries
1005,mecloqualone
1006,hail
1007,metopon
1008,hamburger helper
1009,hotcakes
1010,hubba
1011,ice cubes
1012,rolicyclidine
1013,tenocyclidine
1014,jelly beans
1015,thiamylal
1016,α-methylfentanyl
1017,kangaroo
1018,kokoma
1019,kryptonite
1020,delorazepam
1021,mixed jive
1022,moon rock
1023,nickle
1024,normethadone
1025,nuggets
1026,one-fifty-one
1027,zipeprol
1028,paste
1029,pebbles
1030,pee wee
1031,piedras
1032,noracymethadol
1033,norpipanone
1034,pony
1035,primo
1036,ready rock
1037,arketamine
1038,red caps
1039,rip
1040,eluxadoline
1041,roca
1042,rock attack
1043,adb-chminaca
1044,rocks of hell
1045,rocky iii
1046,rooster
1047,rox
1048,roxanne
1049,roz
1050,schoolcraft
1051,benzylpiperazine
1052,scramble
1053,scruples
1054,seven-up
1055,sherms
1056,sight ball
1057,slab
1058,sleet
1059,speed boat
1060,square time bomb
1061,sugar block
1062,takeover
1063,top gun
1064,suvorexant
1065,uzi
1066,bromazepam
1067,white ball
1068,white ghost
1069,alfentanil
1070,white sugar
1071,white tornado
1072,wrecking crew
1073,yahoo
1074,yale
1075,yimyom
1076,51s
1077,bufotenin
1078,151s
1079,501s
1080,apple jack
1081,baby t
1082,fenfluramine
1083,bazooka
1084,flurazepam
1085,beam me up
1086,beautiful boulders
1087,beemer
1088,bill blass
1089,bings
1090,bj
1091,black rock
1092,blowcaine
1093,blowout
1094,bobo
1095,bolo
1096,bone crusher
1097,remifentanil
1098,boo-boo
1099,boulder
1100,sufentanil
1101,breakfast of champions
1102,bubble gum
1103,bullion
1104,zopiclone
1105,bump
1106,ah-7921
1107,caps
1108,casper the ghost
1109,caviar
1110,cd
1111,jwh-203
1112,cheap basing
1113,pentylone
1114,chewies
1115,chingy
1116,clicker
1117,climax
1118,cloud nine
1119,cookies
1120,crc
1121,crib
1122,crunch and munch
1123,ecstasy/mdma
1124,ecstasy
1125,mdma
1126,molly
1127,baby slits
1128,beans
1129,blue kisses
1130,blue superman
1131,booty juice
1132,chocolate chips
1133,dancing shoes
1134,decadence
1135,disco biscuits
1136,domex
1137,e-bomb
1138,egg rolls
1139,goog
1140,green apple
1141,happy pill
1142,clobazam
1143,hug
1144,hug drug
1145,kleenex
1146,love doctor
1147,love drug
1148,love flip
1149,love potion #9
1150,love trip
1151,lover’s speed
1152,malcolm x
1153,moon rock
1154,ibogaine
1155,pingaz
1156,pingers
1157,rolls
1158,scooby snacks
1159,skittle
1160,pemoline
1161,smacks
1162,slits
1163,phendimetrazine
1164,smarties
1165,speed for lovers
1166,sweets
1167,talbutal
1168,tacha
1169,thizz
1170,triple stacks
1171,uppers
1172,vitamin e
1173,vitamin x
1174,vowels
1175,white mercedes
1176,butabarbital
1177,xtc
1178,butalbital
1179,yokes
1180,butylone
1181,hydrocodone
1182,norco
1183,vicodin
1184,lorcet
1185,357s
1186,bananas
1187,dones
1188,estazolam
1189,dro
1190,droco
1191,fluff
1192,hydros
1193,idiot pills
1194,lemonade
1195,lorries
1196,scratch
1197,tabs
1198,triple v
1199,methylone
1200,veeks
1201,vics
1202,vikes
1203,v-itamin
1204,oxandrolone
1205,watsons-387
1206,watsons
1207,dilaudid
1208,pentobarbital
1209,phenmetrazine
1210,dillies
1211,k4
1212,needle candy
1213,footballs
1214,juice
1215,smack
1216,quazepam
1217,methamphetamine
1218,diablo
1219,evil sister
1220,eye glasses
1221,fizz
1222,foco
1223,frio
1224,gak
1225,garbage
1226,acetylmethadol
1227,g-funk
1228,alphamethadol
1229,gifts
1230,benzethidine
1231,betamethadol
1232,go-fast
1233,go-go
1234,clonitazene
1235,goofball
1236,groceries
1237,diampromide
1238,hard ones
1239,hare
1240,dimenoxadol
1241,hawaiian salt
1242,dimepheptanol
1243,hielo
1244,dimethylamphetamine
1245,hiropon
1246,dimethylheptylpyran
1247,hot ice
1248,dioxaphetyl butyrate
1249,hubbers
